구분별,시점,경기실적SBHI
음료,2015.11 월,92.1
음료,2015.12 월,90.8
음료,2016.01 월,90.2
음료,2016.02 월,78.5
음료,2016.03 월,111.3
음료,2016.04 월,103.5
음료,2016.05 월,87.5
음료,2016.06 월,112.4
음료,2016.07 월,99.8
음료,2016.08 월,102.4
음료,2016.09 월,102.5
음료,2016.10 월,83
음료,2016.11 월,72.2
음료,2016.12 월,93.1
음료,2017.01 월,103.2
음료,2017.02 월,72.2
음료,2017.03 월,88.1
음료,2017.04 월,99.2
음료,2017.05 월,106.2
음료,2017.06 월,99.3
음료,2017.07 월,101.4
음료,2017.08 월,91.7
음료,2017.09 월,108.4
음료,2017.10 월,88.6
음료,2017.11 월,88.8
음료,2017.12 월,98.3
음료,2018.01 월,94.2
음료,2018.02 월,93.8
음료,2018.03 월,94.2
음료,2018.04 월,99.4
음료,2018.05 월,107.2
음료,2018.06 월,93.1
음료,2018.07 월,98.6
음료,2018.08 월,96.5
음료,2018.09 월,102.1
음료,2018.10 월,85
음료,2018.11 월,84.1
음료,2018.12 월,94.8
음료,2019.01 월,105
음료,2019.02 월,82.2
음료,2019.03 월,97.8
음료,2019.04 월,102.1
음료,2019.05 월,106.6
음료,2019.06 월,114.5
음료,2019.07 월,93
음료,2019.08 월,99.6
음료,2019.09 월,99.6
음료,2019.10 월,86.6
음료,2019.11 월,91.4
음료,2019.12 월,83.6
음료,2020.01 월,94.2
음료,2020.02 월,68.5
음료,2020.03 월,70.2
음료,2020.04 월,88.1
음료,2020.05 월,77.5
음료,2020.06 월,78
음료,2020.07 월,82.9
음료,2020.08 월,98.5
음료,2020.09 월,96.2
음료,2020.10 월,75.8
음료,2020.11 월,88
음료,2020.12 월,76.2
음료,2021.01 월,78.8
음료,2021.02 월,75.4
음료,2021.03 월,85.1
음료,2021.04 월,95.2
음료,2021.05 월,96.3
음료,2021.06 월,95.4
음료,2021.07 월,83.8
음료,2021.08 월,75.8
음료,2021.09 월,95.2
음료,2021.10 월,78.6
음료,2021.11 월,89.3
음료,2021.12 월,86
음료,2022.01 월,86.4
음료,2022.02 월,73.9
음료,2022.03 월,86.5
음료,2022.04 월,83.5
섬유제품;의복제외,2015.01 월,65.8
섬유제품;의복제외,2015.02 월,62.1
섬유제품;의복제외,2015.03 월,76.4
섬유제품;의복제외,2015.04 월,83.1
섬유제품;의복제외,2015.05 월,83
섬유제품;의복제외,2015.06 월,77.2
섬유제품;의복제외,2015.07 월,74.9
섬유제품;의복제외,2015.08 월,74.8
섬유제품;의복제외,2015.09 월,83.5
섬유제품;의복제외,2015.10 월,86.9
섬유제품;의복제외,2015.11 월,73.5
섬유제품;의복제외,2015.12 월,78.7
섬유제품;의복제외,2016.01 월,65.5
섬유제품;의복제외,2016.02 월,64.3
섬유제품;의복제외,2016.03 월,86.4
섬유제품;의복제외,2016.04 월,83.1
섬유제품;의복제외,2016.05 월,82.9
섬유제품;의복제외,2016.06 월,81.8
섬유제품;의복제외,2016.07 월,83
섬유제품;의복제외,2016.08 월,85.3
섬유제품;의복제외,2016.09 월,85.1
섬유제품;의복제외,2016.10 월,84.6
섬유제품;의복제외,2016.11 월,84.7
섬유제품;의복제외,2016.12 월,68.8
섬유제품;의복제외,2017.01 월,63.4
섬유제품;의복제외,2017.02 월,64.9
섬유제품;의복제외,2017.03 월,79.7
섬유제품;의복제외,2017.04 월,77.3
섬유제품;의복제외,2017.05 월,76.2
섬유제품;의복제외,2017.06 월,80.1
섬유제품;의복제외,2017.07 월,75.5
섬유제품;의복제외,2017.08 월,67.3
섬유제품;의복제외,2017.09 월,81.6
섬유제품;의복제외,2017.10 월,81.9
섬유제품;의복제외,2017.11 월,83.8
섬유제품;의복제외,2017.12 월,70.4
섬유제품;의복제외,2018.01 월,64.8
섬유제품;의복제외,2018.02 월,71.3
섬유제품;의복제외,2018.03 월,82.6
섬유제품;의복제외,2018.04 월,82.8
섬유제품;의복제외,2018.05 월,81.2
섬유제품;의복제외,2018.06 월,76.8
섬유제품;의복제외,2018.07 월,70.1
섬유제품;의복제외,2018.08 월,60.8
섬유제품;의복제외,2018.09 월,68.8
섬유제품;의복제외,2018.10 월,79.1
섬유제품;의복제외,2018.11 월,72.1
섬유제품;의복제외,2018.12 월,69
섬유제품;의복제외,2019.01 월,65.7
섬유제품;의복제외,2019.02 월,57.4
섬유제품;의복제외,2019.03 월,66.9
섬유제품;의복제외,2019.04 월,72.9
섬유제품;의복제외,2019.05 월,67.7
섬유제품;의복제외,2019.06 월,66.3
섬유제품;의복제외,2019.07 월,61.4
섬유제품;의복제외,2019.08 월,62.2
섬유제품;의복제외,2019.09 월,68
섬유제품;의복제외,2019.10 월,70.2
섬유제품;의복제외,2019.11 월,63.7
섬유제품;의복제외,2019.12 월,62.9
섬유제품;의복제외,2020.01 월,62.5
섬유제품;의복제외,2020.02 월,54.2
섬유제품;의복제외,2020.03 월,48.5
섬유제품;의복제외,2020.04 월,30.8
섬유제품;의복제외,2020.05 월,35.6
섬유제품;의복제외,2020.06 월,45.4
섬유제품;의복제외,2020.07 월,44.5
섬유제품;의복제외,2020.08 월,49.2
섬유제품;의복제외,2020.09 월,59.4
섬유제품;의복제외,2020.10 월,61.3
섬유제품;의복제외,2020.11 월,65.1
섬유제품;의복제외,2020.12 월,57.3
섬유제품;의복제외,2021.01 월,59.6
섬유제품;의복제외,2021.02 월,67
섬유제품;의복제외,2021.03 월,78.7
섬유제품;의복제외,2021.04 월,84.3
섬유제품;의복제외,2021.05 월,74.4
섬유제품;의복제외,2021.06 월,75.1
섬유제품;의복제외,2021.07 월,73
섬유제품;의복제외,2021.08 월,73.8
섬유제품;의복제외,2021.09 월,70.5
섬유제품;의복제외,2021.10 월,75.9
섬유제품;의복제외,2021.11 월,79.9
섬유제품;의복제외,2021.12 월,68.4
섬유제품;의복제외,2022.01 월,72.4
섬유제품;의복제외,2022.02 월,71.7
섬유제품;의복제외,2022.03 월,73.1
섬유제품;의복제외,2022.04 월,71.1
"의복,의복악세서리및모피제품",2015.01 월,65.4
"의복,의복악세서리및모피제품",2015.02 월,58.3
"의복,의복악세서리및모피제품",2015.03 월,69.5
"의복,의복악세서리및모피제품",2015.04 월,75.8
"의복,의복악세서리및모피제품",2015.05 월,77.4
"의복,의복악세서리및모피제품",2015.06 월,59.9
"의복,의복악세서리및모피제품",2015.07 월,71.9
"의복,의복악세서리및모피제품",2015.08 월,63.5
"의복,의복악세서리및모피제품",2015.09 월,75.2
"의복,의복악세서리및모피제품",2015.10 월,72.2
"의복,의복악세서리및모피제품",2015.11 월,75.9
"의복,의복악세서리및모피제품",2015.12 월,70.6
"의복,의복악세서리및모피제품",2016.01 월,68.2
"의복,의복악세서리및모피제품",2016.02 월,60.4
"의복,의복악세서리및모피제품",2016.03 월,77.2
"의복,의복악세서리및모피제품",2016.04 월,80.9
"의복,의복악세서리및모피제품",2016.05 월,94.5
"의복,의복악세서리및모피제품",2016.06 월,88.4
"의복,의복악세서리및모피제품",2016.07 월,83.8
"의복,의복악세서리및모피제품",2016.08 월,80.3
"의복,의복악세서리및모피제품",2016.09 월,79.3
"의복,의복악세서리및모피제품",2016.10 월,82.9
"의복,의복악세서리및모피제품",2016.11 월,79.3
"의복,의복악세서리및모피제품",2016.12 월,75.1
"의복,의복악세서리및모피제품",2017.01 월,81.6
"의복,의복악세서리및모피제품",2017.02 월,80
"의복,의복악세서리및모피제품",2017.03 월,81.7
"의복,의복악세서리및모피제품",2017.04 월,89.5
"의복,의복악세서리및모피제품",2017.05 월,73.7
"의복,의복악세서리및모피제품",2017.06 월,80.5
"의복,의복악세서리및모피제품",2017.07 월,78.6
"의복,의복악세서리및모피제품",2017.08 월,77
"의복,의복악세서리및모피제품",2017.09 월,89.4
"의복,의복악세서리및모피제품",2017.10 월,73.5
"의복,의복악세서리및모피제품",2017.11 월,82.1
"의복,의복악세서리및모피제품",2017.12 월,83.3
"의복,의복악세서리및모피제품",2018.01 월,71.5
"의복,의복악세서리및모피제품",2018.02 월,66.3
"의복,의복악세서리및모피제품",2018.03 월,81.9
"의복,의복악세서리및모피제품",2018.04 월,84.3
"의복,의복악세서리및모피제품",2018.05 월,77.2
"의복,의복악세서리및모피제품",2018.06 월,79.9
"의복,의복악세서리및모피제품",2018.07 월,74.2
"의복,의복악세서리및모피제품",2018.08 월,66.7
"의복,의복악세서리및모피제품",2018.09 월,78.4
"의복,의복악세서리및모피제품",2018.10 월,81.6
"의복,의복악세서리및모피제품",2018.11 월,87.6
"의복,의복악세서리및모피제품",2018.12 월,84.9
"의복,의복악세서리및모피제품",2019.01 월,80.8
"의복,의복악세서리및모피제품",2019.02 월,77.4
"의복,의복악세서리및모피제품",2019.03 월,90.4
"의복,의복악세서리및모피제품",2019.04 월,86.9
"의복,의복악세서리및모피제품",2019.05 월,85.9
"의복,의복악세서리및모피제품",2019.06 월,79.5
"의복,의복악세서리및모피제품",2019.07 월,76.9
"의복,의복악세서리및모피제품",2019.08 월,69.2
"의복,의복악세서리및모피제품",2019.09 월,72
"의복,의복악세서리및모피제품",2019.10 월,82
"의복,의복악세서리및모피제품",2019.11 월,83.9
"의복,의복악세서리및모피제품",2019.12 월,80.2
"의복,의복악세서리및모피제품",2020.01 월,73.1
"의복,의복악세서리및모피제품",2020.02 월,72.2
"의복,의복악세서리및모피제품",2020.03 월,54.2
"의복,의복악세서리및모피제품",2020.04 월,39.3
"의복,의복악세서리및모피제품",2020.05 월,57.3
"의복,의복악세서리및모피제품",2020.06 월,57.3
"의복,의복악세서리및모피제품",2020.07 월,70.1
"의복,의복악세서리및모피제품",2020.08 월,64.8
"의복,의복악세서리및모피제품",2020.09 월,68.9
"의복,의복악세서리및모피제품",2020.10 월,77.7
"의복,의복악세서리및모피제품",2020.11 월,79.9
"의복,의복악세서리및모피제품",2020.12 월,71.6
"의복,의복악세서리및모피제품",2021.01 월,65.6
"의복,의복악세서리및모피제품",2021.02 월,57.1
"의복,의복악세서리및모피제품",2021.03 월,71.1
"의복,의복악세서리및모피제품",2021.04 월,76.9
"의복,의복악세서리및모피제품",2021.05 월,82.6
"의복,의복악세서리및모피제품",2021.06 월,73.9
"의복,의복악세서리및모피제품",2021.07 월,72.3
"의복,의복악세서리및모피제품",2021.08 월,69.2
"의복,의복악세서리및모피제품",2021.09 월,75.8
"의복,의복악세서리및모피제품",2021.10 월,77.9
"의복,의복악세서리및모피제품",2021.11 월,77.8
"의복,의복악세서리및모피제품",2021.12 월,76.8
"의복,의복악세서리및모피제품",2022.01 월,78.2
"의복,의복악세서리및모피제품",2022.02 월,73.3
"의복,의복악세서리및모피제품",2022.03 월,73.2
"의복,의복악세서리및모피제품",2022.04 월,79.6
"가죽,가방및신발",2015.01 월,81.9
"가죽,가방및신발",2015.02 월,75.4
"가죽,가방및신발",2015.03 월,86.1
"가죽,가방및신발",2015.04 월,89.8
"가죽,가방및신발",2015.05 월,90.9
"가죽,가방및신발",2015.06 월,77.4
"가죽,가방및신발",2015.07 월,70.3
"가죽,가방및신발",2015.08 월,74.9
"가죽,가방및신발",2015.09 월,82.1
"가죽,가방및신발",2015.10 월,74.9
"가죽,가방및신발",2015.11 월,79.7
"가죽,가방및신발",2015.12 월,76.4
"가죽,가방및신발",2016.01 월,66.7
"가죽,가방및신발",2016.02 월,59.5
"가죽,가방및신발",2016.03 월,97.2
"가죽,가방및신발",2016.04 월,87.6
"가죽,가방및신발",2016.05 월,87.7
"가죽,가방및신발",2016.06 월,85.7
"가죽,가방및신발",2016.07 월,90.8
"가죽,가방및신발",2016.08 월,84.6
"가죽,가방및신발",2016.09 월,90.4
"가죽,가방및신발",2016.10 월,98.3
"가죽,가방및신발",2016.11 월,78.2
"가죽,가방및신발",2016.12 월,74.1
"가죽,가방및신발",2017.01 월,73.9
"가죽,가방및신발",2017.02 월,70.6
"가죽,가방및신발",2017.03 월,84.1
"가죽,가방및신발",2017.04 월,83.3
"가죽,가방및신발",2017.05 월,77.1
"가죽,가방및신발",2017.06 월,81.3
"가죽,가방및신발",2017.07 월,75.2
"가죽,가방및신발",2017.08 월,66.2
"가죽,가방및신발",2017.09 월,93.1
"가죽,가방및신발",2017.10 월,79.2
"가죽,가방및신발",2017.11 월,77.6
"가죽,가방및신발",2017.12 월,83.1
"가죽,가방및신발",2018.01 월,70.7
"가죽,가방및신발",2018.02 월,61.6
"가죽,가방및신발",2018.03 월,82.1
"가죽,가방및신발",2018.04 월,92
"가죽,가방및신발",2018.05 월,92.6
"가죽,가방및신발",2018.06 월,84.9
"가죽,가방및신발",2018.07 월,78.1
"가죽,가방및신발",2018.08 월,65.4
"가죽,가방및신발",2018.09 월,76.2
"가죽,가방및신발",2018.10 월,81.5
"가죽,가방및신발",2018.11 월,84.5
"가죽,가방및신발",2018.12 월,66.9
"가죽,가방및신발",2019.01 월,65.8
"가죽,가방및신발",2019.02 월,66.6
"가죽,가방및신발",2019.03 월,77.8
"가죽,가방및신발",2019.04 월,78.5
"가죽,가방및신발",2019.05 월,75.3
"가죽,가방및신발",2019.06 월,72.7
"가죽,가방및신발",2019.07 월,69.2
"가죽,가방및신발",2019.08 월,67.8
"가죽,가방및신발",2019.09 월,74.6
"가죽,가방및신발",2019.10 월,82.2
"가죽,가방및신발",2019.11 월,84.8
"가죽,가방및신발",2019.12 월,80.9
"가죽,가방및신발",2020.01 월,65.1
"가죽,가방및신발",2020.02 월,51.4
"가죽,가방및신발",2020.03 월,52.3
"가죽,가방및신발",2020.04 월,43.3
"가죽,가방및신발",2020.05 월,44
"가죽,가방및신발",2020.06 월,43.3
"가죽,가방및신발",2020.07 월,47.5
"가죽,가방및신발",2020.08 월,49.3
"가죽,가방및신발",2020.09 월,48.3
"가죽,가방및신발",2020.10 월,53.7
"가죽,가방및신발",2020.11 월,60.3
"가죽,가방및신발",2020.12 월,56.5
"가죽,가방및신발",2021.01 월,51.6
"가죽,가방및신발",2021.02 월,49.7
"가죽,가방및신발",2021.03 월,60.9
"가죽,가방및신발",2021.04 월,64.4
"가죽,가방및신발",2021.05 월,69.2
"가죽,가방및신발",2021.06 월,68.9
"가죽,가방및신발",2021.07 월,59.9
"가죽,가방및신발",2021.08 월,56
"가죽,가방및신발",2021.09 월,54.7
"가죽,가방및신발",2021.10 월,51.4
"가죽,가방및신발",2021.11 월,71
"가죽,가방및신발",2021.12 월,60.7
"가죽,가방및신발",2022.01 월,63.2
"가죽,가방및신발",2022.02 월,58.4
"가죽,가방및신발",2022.03 월,64.4
"가죽,가방및신발",2022.04 월,70.9
목재및나무제품;가구제외,2015.01 월,66.2
목재및나무제품;가구제외,2015.02 월,68
목재및나무제품;가구제외,2015.03 월,77.5
목재및나무제품;가구제외,2015.04 월,78.7
목재및나무제품;가구제외,2015.05 월,70.4
목재및나무제품;가구제외,2015.06 월,70.2
목재및나무제품;가구제외,2015.07 월,74.3
목재및나무제품;가구제외,2015.08 월,65.5
목재및나무제품;가구제외,2015.09 월,71.9
목재및나무제품;가구제외,2015.10 월,85.4
목재및나무제품;가구제외,2015.11 월,74.7
목재및나무제품;가구제외,2015.12 월,61.2
목재및나무제품;가구제외,2016.01 월,66.8
목재및나무제품;가구제외,2016.02 월,61.4
목재및나무제품;가구제외,2016.03 월,80.3
목재및나무제품;가구제외,2016.04 월,79.3
목재및나무제품;가구제외,2016.05 월,84.1
목재및나무제품;가구제외,2016.06 월,78.7
목재및나무제품;가구제외,2016.07 월,73
목재및나무제품;가구제외,2016.08 월,74.3
목재및나무제품;가구제외,2016.09 월,80
목재및나무제품;가구제외,2016.10 월,79
목재및나무제품;가구제외,2016.11 월,79.9
목재및나무제품;가구제외,2016.12 월,78
목재및나무제품;가구제외,2017.01 월,63.5
목재및나무제품;가구제외,2017.02 월,78.4
목재및나무제품;가구제외,2017.03 월,78.1
목재및나무제품;가구제외,2017.04 월,81.9
목재및나무제품;가구제외,2017.05 월,80
목재및나무제품;가구제외,2017.06 월,83.9
목재및나무제품;가구제외,2017.07 월,77.9
목재및나무제품;가구제외,2017.08 월,76.3
목재및나무제품;가구제외,2017.09 월,90
목재및나무제품;가구제외,2017.10 월,74.4
목재및나무제품;가구제외,2017.11 월,96.5
목재및나무제품;가구제외,2017.12 월,76.6
목재및나무제품;가구제외,2018.01 월,77.7
목재및나무제품;가구제외,2018.02 월,63
목재및나무제품;가구제외,2018.03 월,77.1
목재및나무제품;가구제외,2018.04 월,87.6
목재및나무제품;가구제외,2018.05 월,86
목재및나무제품;가구제외,2018.06 월,77.3
목재및나무제품;가구제외,2018.07 월,68.7
목재및나무제품;가구제외,2018.08 월,68.6
목재및나무제품;가구제외,2018.09 월,74.7
목재및나무제품;가구제외,2018.10 월,75.3
목재및나무제품;가구제외,2018.11 월,76.9
목재및나무제품;가구제외,2018.12 월,73.5
목재및나무제품;가구제외,2019.01 월,64
목재및나무제품;가구제외,2019.02 월,59.2
목재및나무제품;가구제외,2019.03 월,70.5
목재및나무제품;가구제외,2019.04 월,74.4
목재및나무제품;가구제외,2019.05 월,78.3
목재및나무제품;가구제외,2019.06 월,70.3
목재및나무제품;가구제외,2019.07 월,67.7
목재및나무제품;가구제외,2019.08 월,72.4
목재및나무제품;가구제외,2019.09 월,71.1
목재및나무제품;가구제외,2019.10 월,77.6
목재및나무제품;가구제외,2019.11 월,86.6
목재및나무제품;가구제외,2019.12 월,76.9
목재및나무제품;가구제외,2020.01 월,65.4
목재및나무제품;가구제외,2020.02 월,57.1
목재및나무제품;가구제외,2020.03 월,68.6
목재및나무제품;가구제외,2020.04 월,61.9
목재및나무제품;가구제외,2020.05 월,63.9
목재및나무제품;가구제외,2020.06 월,67.6
목재및나무제품;가구제외,2020.07 월,61.4
목재및나무제품;가구제외,2020.08 월,61
목재및나무제품;가구제외,2020.09 월,71.2
목재및나무제품;가구제외,2020.10 월,79
목재및나무제품;가구제외,2020.11 월,71.8
목재및나무제품;가구제외,2020.12 월,66.1
목재및나무제품;가구제외,2021.01 월,61.3
목재및나무제품;가구제외,2021.02 월,66.5
목재및나무제품;가구제외,2021.03 월,74.6
목재및나무제품;가구제외,2021.04 월,80.7
목재및나무제품;가구제외,2021.05 월,77.8
목재및나무제품;가구제외,2021.06 월,82.1
목재및나무제품;가구제외,2021.07 월,73
목재및나무제품;가구제외,2021.08 월,77.3
목재및나무제품;가구제외,2021.09 월,72.9
목재및나무제품;가구제외,2021.10 월,77.2
목재및나무제품;가구제외,2021.11 월,85.3
목재및나무제품;가구제외,2021.12 월,80.7
목재및나무제품;가구제외,2022.01 월,76.3
목재및나무제품;가구제외,2022.02 월,73.8
목재및나무제품;가구제외,2022.03 월,77.9
목재및나무제품;가구제외,2022.04 월,79.1
"펄프,종이및종이제품",2015.01 월,80.1
"펄프,종이및종이제품",2015.02 월,75.9
"펄프,종이및종이제품",2015.03 월,77.9
"펄프,종이및종이제품",2015.04 월,79.5
"펄프,종이및종이제품",2015.05 월,80.4
"펄프,종이및종이제품",2015.06 월,72.4
"펄프,종이및종이제품",2015.07 월,72.4
"펄프,종이및종이제품",2015.08 월,69.5
"펄프,종이및종이제품",2015.09 월,84.9
"펄프,종이및종이제품",2015.10 월,81.5
"펄프,종이및종이제품",2015.11 월,84.2
"펄프,종이및종이제품",2015.12 월,77
"펄프,종이및종이제품",2016.01 월,82.9
"펄프,종이및종이제품",2016.02 월,67.5
"펄프,종이및종이제품",2016.03 월,83.2
"펄프,종이및종이제품",2016.04 월,84.8
"펄프,종이및종이제품",2016.05 월,85.5
"펄프,종이및종이제품",2016.06 월,87.5
"펄프,종이및종이제품",2016.07 월,84.2
"펄프,종이및종이제품",2016.08 월,79.9
"펄프,종이및종이제품",2016.09 월,85.2
"펄프,종이및종이제품",2016.10 월,85.1
"펄프,종이및종이제품",2016.11 월,77.2
"펄프,종이및종이제품",2016.12 월,71.9
"펄프,종이및종이제품",2017.01 월,86.7
"펄프,종이및종이제품",2017.02 월,72.2
"펄프,종이및종이제품",2017.03 월,75.6
"펄프,종이및종이제품",2017.04 월,87.9
"펄프,종이및종이제품",2017.05 월,76.3
"펄프,종이및종이제품",2017.06 월,73.5
"펄프,종이및종이제품",2017.07 월,71
"펄프,종이및종이제품",2017.08 월,75.1
"펄프,종이및종이제품",2017.09 월,89.7
"펄프,종이및종이제품",2017.10 월,75.1
"펄프,종이및종이제품",2017.11 월,86.6
"펄프,종이및종이제품",2017.12 월,80
"펄프,종이및종이제품",2018.01 월,81.9
"펄프,종이및종이제품",2018.02 월,73.2
"펄프,종이및종이제품",2018.03 월,79.5
"펄프,종이및종이제품",2018.04 월,78.9
"펄프,종이및종이제품",2018.05 월,82.8
"펄프,종이및종이제품",2018.06 월,83.5
"펄프,종이및종이제품",2018.07 월,75
"펄프,종이및종이제품",2018.08 월,76.1
"펄프,종이및종이제품",2018.09 월,92.2
"펄프,종이및종이제품",2018.10 월,86.1
"펄프,종이및종이제품",2018.11 월,76.1
"펄프,종이및종이제품",2018.12 월,68.1
"펄프,종이및종이제품",2019.01 월,80.1
"펄프,종이및종이제품",2019.02 월,68.3
"펄프,종이및종이제품",2019.03 월,74.8
"펄프,종이및종이제품",2019.04 월,81
"펄프,종이및종이제품",2019.05 월,74.7
"펄프,종이및종이제품",2019.06 월,70.9
"펄프,종이및종이제품",2019.07 월,80
"펄프,종이및종이제품",2019.08 월,81.6
"펄프,종이및종이제품",2019.09 월,80
"펄프,종이및종이제품",2019.10 월,77.6
"펄프,종이및종이제품",2019.11 월,75.8
"펄프,종이및종이제품",2019.12 월,82.5
"펄프,종이및종이제품",2020.01 월,77.3
"펄프,종이및종이제품",2020.02 월,61.4
"펄프,종이및종이제품",2020.03 월,58.1
"펄프,종이및종이제품",2020.04 월,56.3
"펄프,종이및종이제품",2020.05 월,54.2
"펄프,종이및종이제품",2020.06 월,56.1
"펄프,종이및종이제품",2020.07 월,70.3
"펄프,종이및종이제품",2020.08 월,67.2
"펄프,종이및종이제품",2020.09 월,81.9
"펄프,종이및종이제품",2020.10 월,83.3
"펄프,종이및종이제품",2020.11 월,71.4
"펄프,종이및종이제품",2020.12 월,73.3
"펄프,종이및종이제품",2021.01 월,78.9
"펄프,종이및종이제품",2021.02 월,81
"펄프,종이및종이제품",2021.03 월,78.8
"펄프,종이및종이제품",2021.04 월,85.3
"펄프,종이및종이제품",2021.05 월,88.7
"펄프,종이및종이제품",2021.06 월,86.7
"펄프,종이및종이제품",2021.07 월,76.4
"펄프,종이및종이제품",2021.08 월,81.5
"펄프,종이및종이제품",2021.09 월,85.4
"펄프,종이및종이제품",2021.10 월,82.1
"펄프,종이및종이제품",2021.11 월,86.2
"펄프,종이및종이제품",2021.12 월,89.1
"펄프,종이및종이제품",2022.01 월,89.3
"펄프,종이및종이제품",2022.02 월,75.1
"펄프,종이및종이제품",2022.03 월,75.5
"펄프,종이및종이제품",2022.04 월,85
인쇄및기록매체복제업,2015.01 월,81
인쇄및기록매체복제업,2015.02 월,86
인쇄및기록매체복제업,2015.03 월,80.5
인쇄및기록매체복제업,2015.04 월,77.2
인쇄및기록매체복제업,2015.05 월,77.7
인쇄및기록매체복제업,2015.06 월,56.4
인쇄및기록매체복제업,2015.07 월,72
인쇄및기록매체복제업,2015.08 월,62.5
인쇄및기록매체복제업,2015.09 월,75.8
인쇄및기록매체복제업,2015.10 월,78.7
인쇄및기록매체복제업,2015.11 월,94.7
인쇄및기록매체복제업,2015.12 월,94.6
인쇄및기록매체복제업,2016.01 월,80.1
인쇄및기록매체복제업,2016.02 월,79.3
인쇄및기록매체복제업,2016.03 월,83.4
인쇄및기록매체복제업,2016.04 월,81.2
인쇄및기록매체복제업,2016.05 월,77.1
인쇄및기록매체복제업,2016.06 월,79.5
인쇄및기록매체복제업,2016.07 월,76.9
인쇄및기록매체복제업,2016.08 월,76.8
인쇄및기록매체복제업,2016.09 월,86.8
인쇄및기록매체복제업,2016.10 월,90.9
인쇄및기록매체복제업,2016.11 월,86.3
인쇄및기록매체복제업,2016.12 월,92.7
인쇄및기록매체복제업,2017.01 월,75.6
인쇄및기록매체복제업,2017.02 월,77.4
인쇄및기록매체복제업,2017.03 월,89.4
인쇄및기록매체복제업,2017.04 월,80
인쇄및기록매체복제업,2017.05 월,74.7
인쇄및기록매체복제업,2017.06 월,81.2
인쇄및기록매체복제업,2017.07 월,77.2
인쇄및기록매체복제업,2017.08 월,77.2
인쇄및기록매체복제업,2017.09 월,91.7
인쇄및기록매체복제업,2017.10 월,77.4
인쇄및기록매체복제업,2017.11 월,97.8
인쇄및기록매체복제업,2017.12 월,100
인쇄및기록매체복제업,2018.01 월,86.4
인쇄및기록매체복제업,2018.02 월,75.9
인쇄및기록매체복제업,2018.03 월,90.2
인쇄및기록매체복제업,2018.04 월,86.2
인쇄및기록매체복제업,2018.05 월,85.2
인쇄및기록매체복제업,2018.06 월,76.4
인쇄및기록매체복제업,2018.07 월,68.9
인쇄및기록매체복제업,2018.08 월,67.6
인쇄및기록매체복제업,2018.09 월,86.5
인쇄및기록매체복제업,2018.10 월,85.3
인쇄및기록매체복제업,2018.11 월,84.9
인쇄및기록매체복제업,2018.12 월,92.6
인쇄및기록매체복제업,2019.01 월,80.5
인쇄및기록매체복제업,2019.02 월,74.1
인쇄및기록매체복제업,2019.03 월,86
인쇄및기록매체복제업,2019.04 월,73.3
인쇄및기록매체복제업,2019.05 월,73.2
인쇄및기록매체복제업,2019.06 월,70.9
인쇄및기록매체복제업,2019.07 월,68.6
인쇄및기록매체복제업,2019.08 월,63
인쇄및기록매체복제업,2019.09 월,74.2
인쇄및기록매체복제업,2019.10 월,81.7
인쇄및기록매체복제업,2019.11 월,84.8
인쇄및기록매체복제업,2019.12 월,93.4
인쇄및기록매체복제업,2020.01 월,74.9
인쇄및기록매체복제업,2020.02 월,71.1
인쇄및기록매체복제업,2020.03 월,44.7
인쇄및기록매체복제업,2020.04 월,42.4
인쇄및기록매체복제업,2020.05 월,42.3
인쇄및기록매체복제업,2020.06 월,51.9
인쇄및기록매체복제업,2020.07 월,51.2
인쇄및기록매체복제업,2020.08 월,54.7
인쇄및기록매체복제업,2020.09 월,65.5
인쇄및기록매체복제업,2020.10 월,78.1
인쇄및기록매체복제업,2020.11 월,83.1
인쇄및기록매체복제업,2020.12 월,83.8
인쇄및기록매체복제업,2021.01 월,69.3
인쇄및기록매체복제업,2021.02 월,58.4
인쇄및기록매체복제업,2021.03 월,74.4
인쇄및기록매체복제업,2021.04 월,71.4
인쇄및기록매체복제업,2021.05 월,66.6
인쇄및기록매체복제업,2021.06 월,65.4
인쇄및기록매체복제업,2021.07 월,64.6
인쇄및기록매체복제업,2021.08 월,53.1
인쇄및기록매체복제업,2021.09 월,67.1
인쇄및기록매체복제업,2021.10 월,78.7
인쇄및기록매체복제업,2021.11 월,84.1
인쇄및기록매체복제업,2021.12 월,92.7
인쇄및기록매체복제업,2022.01 월,78
인쇄및기록매체복제업,2022.02 월,67
인쇄및기록매체복제업,2022.03 월,72.1
인쇄및기록매체복제업,2022.04 월,71.5
화학물질및화학제품;의약품제외,2015.01 월,89
화학물질및화학제품;의약품제외,2015.02 월,81.7
화학물질및화학제품;의약품제외,2015.03 월,93.2
화학물질및화학제품;의약품제외,2015.04 월,93.8
화학물질및화학제품;의약품제외,2015.05 월,86.6
화학물질및화학제품;의약품제외,2015.06 월,78.2
화학물질및화학제품;의약품제외,2015.07 월,83
화학물질및화학제품;의약품제외,2015.08 월,76
화학물질및화학제품;의약품제외,2015.09 월,75.1
화학물질및화학제품;의약품제외,2015.10 월,95.7
화학물질및화학제품;의약품제외,2015.11 월,87.3
화학물질및화학제품;의약품제외,2015.12 월,79.1
화학물질및화학제품;의약품제외,2016.01 월,83.9
화학물질및화학제품;의약품제외,2016.02 월,70.4
화학물질및화학제품;의약품제외,2016.03 월,92.8
