구분별,시점,경기실적SBHI
중기업,2015.12 월,91.6
중기업,2016.01 월,82.7
중기업,2016.02 월,77.1
중기업,2016.03 월,90.3
중기업,2016.04 월,93.5
중기업,2016.05 월,90.2
중기업,2016.06 월,89
중기업,2016.07 월,87.2
중기업,2016.08 월,85.2
중기업,2016.09 월,89
중기업,2016.10 월,84.7
중기업,2016.11 월,85
중기업,2016.12 월,83
중기업,2017.01 월,77.9
중기업,2017.02 월,78.1
중기업,2017.03 월,87.4
중기업,2017.04 월,87.7
중기업,2017.05 월,86.9
중기업,2017.06 월,85.9
중기업,2017.07 월,84.9
중기업,2017.08 월,82.3
중기업,2017.09 월,91.2
중기업,2017.10 월,84.6
중기업,2017.11 월,87.9
중기업,2017.12 월,89
중기업,2018.01 월,84.2
중기업,2018.02 월,80.3
중기업,2018.03 월,87.6
중기업,2018.04 월,87.9
중기업,2018.05 월,87.3
중기업,2018.06 월,85.3
중기업,2018.07 월,83
중기업,2018.08 월,80.2
중기업,2018.09 월,85.2
중기업,2018.10 월,83.7
중기업,2018.11 월,83.3
중기업,2018.12 월,83.3
중기업,2019.01 월,81.1
중기업,2019.02 월,73.5
중기업,2019.03 월,84.5
중기업,2019.04 월,85.8
중기업,2019.05 월,85.3
중기업,2019.06 월,83
중기업,2019.07 월,80.6
중기업,2019.08 월,78.7
중기업,2019.09 월,81.8
중기업,2019.10 월,84.1
중기업,2019.11 월,84.3
중기업,2019.12 월,82.4
중기업,2020.01 월,83.1
중기업,2020.02 월,71.4
중기업,2020.03 월,60.9
중기업,2020.04 월,55.8
중기업,2020.05 월,58
중기업,2020.06 월,63.3
중기업,2020.07 월,68
중기업,2020.08 월,65.1
중기업,2020.09 월,71.5
중기업,2020.10 월,76.6
중기업,2020.11 월,76.2
중기업,2020.12 월,69.2
중기업,2021.01 월,72.3
중기업,2021.02 월,69.2
중기업,2021.03 월,77.8
중기업,2021.04 월,82
중기업,2021.05 월,82.1
중기업,2021.06 월,82.5
중기업,2021.07 월,78
중기업,2021.08 월,74.5
중기업,2021.09 월,80.6
중기업,2021.10 월,82.1
중기업,2021.11 월,85.3
중기업,2021.12 월,86.2
중기업,2022.01 월,84.2
중기업,2022.02 월,79
중기업,2022.03 월,80
중기업,2022.04 월,85.9
일반기업,2015.01 월,76.6
일반기업,2015.02 월,76.4
일반기업,2015.03 월,82.9
일반기업,2015.04 월,83.2
일반기업,2015.05 월,86.4
일반기업,2015.06 월,76.4
일반기업,2015.07 월,78.1
일반기업,2015.08 월,79.2
일반기업,2015.09 월,84.7
일반기업,2015.10 월,86.6
일반기업,2015.11 월,83.1
일반기업,2015.12 월,83
일반기업,2016.01 월,77.7
일반기업,2016.02 월,71.3
일반기업,2016.03 월,84.2
일반기업,2016.04 월,86.9
일반기업,2016.05 월,86
일반기업,2016.06 월,84
일반기업,2016.07 월,83.5
일반기업,2016.08 월,81.4
일반기업,2016.09 월,83.3
일반기업,2016.10 월,82.1
일반기업,2016.11 월,80.3
일반기업,2016.12 월,78.8
일반기업,2017.01 월,73.8
일반기업,2017.02 월,72.1
일반기업,2017.03 월,84.3
일반기업,2017.04 월,84.5
