시점,구분별,경기실적SBHI,내수판매SBHI,영업이익실적 SBHI,자금사정SBHI,고용수준실적SBHI,선행종합지수,경제심리지수,KOSPI
2015.04,1차금속,75.7,84.6,74.0,76.1,95.0,99.2,103.0,2127.17
2015.04,금속가공제품 기계및가구제외,82.8,84.1,81.6,85.0,92.9,99.2,103.0,2127.17
2015.04,전자부품컴퓨터영상음향및통신장비,88.7,92.1,87.0,85.1,96.9,99.2,103.0,2127.17
2015.04,의료정밀광학기기및시계,79.6,82.7,78.7,75.8,90.7,99.2,103.0,2127.17
2015.04,전기장비,86.3,86.4,84.1,84.0,101.9,99.2,103.0,2127.17
2015.04,기타기계및장비,83.3,86.6,83.2,89.0,93.9,99.2,103.0,2127.17
2015.04,자동차및트레일러,97.1,94.1,89.1,86.8,99.4,99.2,103.0,2127.17
2015.04,기타운송장비,84.6,86.6,85.4,88.5,90.4,99.2,103.0,2127.17
2015.04,가구,77.6,75.1,73.0,74.8,92.1,99.2,103.0,2127.17
2015.04,기타제품,76.9,79.2,75.2,79.8,92.5,99.2,103.0,2127.17
2015.04,비제조업,82.3,81.5,78.8,79.1,94.7,99.2,103.0,2127.17
2015.04,건설업,77.0,74.8,73.2,70.2,96.5,99.2,103.0,2127.17
2015.04,도매 및 소매업,81.0,81.2,77.4,80.5,94.0,99.2,103.0,2127.17
2015.04,운수업,85.0,84.0,84.7,84.5,94.4,99.2,103.0,2127.17
2015.04,숙박 및 음식점업,97.6,93.0,91.6,93.5,89.8,99.2,103.0,2127.17
2015.04,출판영상방송통신 및 정보서비스업,90.7,89.9,88.1,83.8,95.1,99.2,103.0,2127.17
2015.04,부동산업 및 임대업,89.1,90.6,85.1,85.2,96.5,99.2,103.0,2127.17
2015.04,전문과학 및 기술서비스업,90.7,90.0,86.0,81.7,95.2,99.2,103.0,2127.17
2015.04,사업시설관리 및 사업지원서비스업,87.0,84.2,80.8,76.1,92.4,99.2,103.0,2127.17
2015.04,교육서비스업,89.8,89.8,90.5,88.1,96.5,99.2,103.0,2127.17
2015.04,예술스포츠 및 여가관련서비스업,97.8,93.2,91.8,93.3,97.7,99.2,103.0,2127.17
2015.04,수리 및 기타개인서비스업,84.8,85.5,83.3,76.1,93.2,99.2,103.0,2127.17
2015.05,전산업,86.4,85.6,82.8,82.8,95.0,99.6,101.5,2114.8
2015.05,식료품,93.8,94.5,86.6,84.4,90.8,99.6,101.5,2114.8
2015.05,음료,111.8,112.1,112.0,106.3,99.4,99.6,101.5,2114.8
2015.05,섬유제품 의복제외,83.0,76.8,77.4,74.2,96.9,99.6,101.5,2114.8
2015.05,의복의복악세서리및모피제품,77.4,78.1,74.6,70.8,96.1,99.6,101.5,2114.8
2015.05,가죽가방및신발,90.9,86.6,81.1,77.4,93.9,99.6,101.5,2114.8
2015.05,목재및나무제품 가구제외,70.4,77.2,68.0,71.6,95.4,99.6,101.5,2114.8
2015.05,펄프종이및종이제품,80.4,78.9,73.0,75.9,96.4,99.6,101.5,2114.8
2015.05,인쇄및기록매체복제업,77.7,76.9,70.8,76.6,99.0,99.6,101.5,2114.8
2015.05,화학물질및화학제품 의약품제외,86.6,86.8,,86.3,90.4,99.6,101.5,2114.8
2015.05,의료용물질및의약품,95.2,98.8,97.4,92.7,94.9,99.6,101.5,2114.8
2015.05,고무제품및플라스틱제품,88.5,90.6,88.8,83.2,93.8,99.6,101.5,2114.8
2015.05,비금속광물제품,89.6,90.5,84.2,93.0,95.8,99.6,101.5,2114.8
2015.05,1차금속,73.9,78.8,71.0,76.9,101.0,99.6,101.5,2114.8
2015.05,금속가공제품 기계및가구제외,88.6,85.8,82.2,84.9,96.8,99.6,101.5,2114.8
2015.05,전자부품컴퓨터영상음향및통신장비,81.3,80.3,75.9,82.9,100.5,99.6,101.5,2114.8
2015.05,의료정밀광학기기및시계,83.0,82.6,81.6,80.4,93.8,99.6,101.5,2114.8
2015.05,전기장비,84.6,84.7,82.2,80.4,90.9,99.6,101.5,2114.8
2015.05,기타기계및장비,81.8,84.6,78.4,85.0,97.2,99.6,101.5,2114.8
2015.05,자동차및트레일러,91.5,91.8,85.7,86.7,97.4,99.6,101.5,2114.8
2015.05,기타운송장비,90.1,84.8,86.2,83.0,94.5,99.6,101.5,2114.8
2015.05,가구,66.1,65.1,65.1,69.3,88.3,99.6,101.5,2114.8
2015.05,기타제품,86.3,84.3,81.4,75.2,97.3,99.6,101.5,2114.8
2015.05,비제조업,87.2,85.7,83.8,82.8,94.5,99.6,101.5,2114.8
2015.05,건설업,80.9,78.4,76.4,73.6,99.8,99.6,101.5,2114.8
2015.05,도매 및 소매업,86.8,86.0,84.1,85.2,93.0,99.6,101.5,2114.8
2015.05,운수업,89.9,89.7,88.8,85.3,92.5,99.6,101.5,2114.8
2015.05,숙박 및 음식점업,109.1,108.8,101.0,92.6,92.8,99.6,101.5,2114.8
2015.05,출판영상방송통신 및 정보서비스업,88.1,87.5,83.1,84.0,93.4,99.6,101.5,2114.8
2015.05,부동산업 및 임대업,101.9,95.4,99.1,94.3,97.9,99.6,101.5,2114.8
2015.05,전문과학 및 기술서비스업,93.6,89.6,87.4,85.4,92.1,99.6,101.5,2114.8
2015.05,사업시설관리 및 사업지원서비스업,88.2,88.2,87.0,79.7,91.4,99.6,101.5,2114.8
2015.05,교육서비스업,88.9,88.9,92.7,89.1,99.6,99.6,101.5,2114.8
2015.05,예술스포츠 및 여가관련서비스업,92.7,91.7,90.3,91.6,85.1,99.6,101.5,2114.8
2015.05,수리 및 기타개인서비스업,92.4,89.4,86.9,75.3,87.6,99.6,101.5,2114.8
2015.06,전산업,77.1,77.3,74.8,77.7,95.3,99.9,91.5,2074.2
2015.06,식료품,77.5,73.8,72.5,80.2,96.5,99.9,91.5,2074.2
2015.06,음료,93.1,88.6,77.1,85.8,94.9,99.9,91.5,2074.2
2015.06,섬유제품 의복제외,77.2,68.6,69.8,66.8,101.4,99.9,91.5,2074.2
2015.06,의복의복악세서리및모피제품,59.9,61.6,64.5,68.1,100.3,99.9,91.5,2074.2
2015.06,가죽가방및신발,77.4,77.9,74.1,76.2,95.7,99.9,91.5,2074.2
2015.06,목재및나무제품 가구제외,70.2,70.8,70.9,75.9,91.6,99.9,91.5,2074.2
2015.06,펄프종이및종이제품,72.4,70.3,71.0,74.6,100.1,99.9,91.5,2074.2
2015.06,인쇄및기록매체복제업,56.4,55.8,55.2,60.9,99.4,99.9,91.5,2074.2
2015.06,화학물질및화학제품 의약품제외,78.2,80.7,,84.6,97.6,99.9,91.5,2074.2
2015.06,의료용물질및의약품,91.5,88.1,90.1,90.1,98.7,99.9,91.5,2074.2
2015.06,고무제품및플라스틱제품,79.5,79.9,75.7,76.5,90.9,99.9,91.5,2074.2
2015.06,비금속광물제품,81.5,85.7,79.3,85.3,95.8,99.9,91.5,2074.2
2015.06,1차금속,73.9,78.5,74.3,81.5,102.0,99.9,91.5,2074.2
2015.06,금속가공제품 기계및가구제외,81.7,83.0,78.5,81.1,97.1,99.9,91.5,2074.2
2015.06,전자부품컴퓨터영상음향및통신장비,93.6,91.1,83.7,90.4,98.2,99.9,91.5,2074.2
2015.06,의료정밀광학기기및시계,85.2,78.9,84.1,83.6,97.4,99.9,91.5,2074.2
2015.06,전기장비,88.2,85.5,84.7,82.0,94.3,99.9,91.5,2074.2
2015.06,기타기계및장비,75.2,75.0,72.8,80.9,95.4,99.9,91.5,2074.2
2015.06,자동차및트레일러,85.2,82.7,80.6,85.5,95.8,99.9,91.5,2074.2
2015.06,기타운송장비,75.2,80.2,75.1,81.6,98.5,99.9,91.5,2074.2
2015.06,가구,59.8,60.3,61.1,65.2,93.5,99.9,91.5,2074.2
2015.06,기타제품,76.8,77.4,77.6,77.2,102.4,99.9,91.5,2074.2
2015.06,비제조업,75.6,76.1,73.8,75.8,94.3,99.9,91.5,2074.2
2015.06,건설업,80.9,78.8,79.3,78.4,98.2,99.9,91.5,2074.2
2015.06,도매 및 소매업,72.6,74.7,70.9,75.1,92.8,99.9,91.5,2074.2
2015.06,운수업,76.5,76.0,75.1,76.1,96.7,99.9,91.5,2074.2
2015.06,숙박 및 음식점업,61.5,62.3,59.2,60.3,98.5,99.9,91.5,2074.2
2015.06,출판영상방송통신 및 정보서비스업,83.0,82.5,80.7,79.1,91.9,99.9,91.5,2074.2
2015.06,부동산업 및 임대업,85.7,83.5,87.3,89.8,101.7,99.9,91.5,2074.2
2015.06,전문과학 및 기술서비스업,84.9,84.8,81.7,81.0,91.4,99.9,91.5,2074.2
2015.06,사업시설관리 및 사업지원서비스업,84.8,85.0,80.5,77.6,84.9,99.9,91.5,2074.2
2015.06,교육서비스업,54.8,58.5,57.7,55.3,89.5,99.9,91.5,2074.2
2015.06,예술스포츠 및 여가관련서비스업,71.3,71.1,70.7,73.7,94.8,99.9,91.5,2074.2
2015.06,수리 및 기타개인서비스업,74.6,69.9,68.8,70.7,86.2,99.9,91.5,2074.2
2015.07,전산업,78.8,78.0,75.0,78.5,95.1,100.2,95.2,2030.16
2015.07,식료품,81.9,79.6,78.7,84.1,92.4,100.2,95.2,2030.16
2015.07,음료,105.2,105.2,105.4,106.5,102.2,100.2,95.2,2030.16
2015.07,섬유제품 의복제외,74.9,64.8,64.7,71.7,96.3,100.2,95.2,2030.16
2015.07,의복의복악세서리및모피제품,71.9,72.0,66.6,70.3,105.1,100.2,95.2,2030.16
2015.07,가죽가방및신발,70.3,70.9,72.8,73.1,100.1,100.2,95.2,2030.16
2015.07,목재및나무제품 가구제외,74.3,70.9,69.8,75.5,95.7,100.2,95.2,2030.16
2015.07,펄프종이및종이제품,72.4,72.0,70.9,74.6,99.3,100.2,95.2,2030.16
2015.07,인쇄및기록매체복제업,72.0,68.3,62.9,67.9,105.1,100.2,95.2,2030.16
2015.07,화학물질및화학제품 의약품제외,83.0,80.8,,89.4,97.5,100.2,95.2,2030.16
2015.07,의료용물질및의약품,91.4,89.8,85.5,88.5,98.1,100.2,95.2,2030.16
2015.07,고무제품및플라스틱제품,78.9,76.1,71.7,76.7,100.2,100.2,95.2,2030.16
2015.07,비금속광물제품,81.2,81.1,78.7,84.8,100.9,100.2,95.2,2030.16
2015.07,1차금속,73.3,75.8,71.6,79.9,101.2,100.2,95.2,2030.16
2015.07,금속가공제품 기계및가구제외,81.8,78.4,75.8,80.2,96.2,100.2,95.2,2030.16
2015.07,전자부품컴퓨터영상음향및통신장비,89.3,89.3,83.9,81.7,101.6,100.2,95.2,2030.16
2015.07,의료정밀광학기기및시계,76.9,72.2,75.2,76.5,96.8,100.2,95.2,2030.16
2015.07,전기장비,82.4,82.1,78.8,81.4,97.3,100.2,95.2,2030.16
2015.07,기타기계및장비,77.1,80.1,78.8,77.4,93.9,100.2,95.2,2030.16
2015.07,자동차및트레일러,81.2,80.6,81.7,83.1,94.7,100.2,95.2,2030.16
2015.07,기타운송장비,78.2,83.3,79.2,89.9,95.8,100.2,95.2,2030.16
2015.07,가구,60.5,59.6,59.5,62.1,94.1,100.2,95.2,2030.16
2015.07,기타제품,82.4,81.5,79.4,84.0,92.5,100.2,95.2,2030.16
2015.07,비제조업,78.4,77.7,74.3,77.7,94.2,100.2,95.2,2030.16
2015.07,건설업,79.8,80.9,78.4,76.4,98.5,100.2,95.2,2030.16
2015.07,도매 및 소매업,77.9,76.2,72.1,77.8,93.1,100.2,95.2,2030.16
2015.07,운수업,76.8,77.8,76.8,77.7,96.6,100.2,95.2,2030.16
2015.07,숙박 및 음식점업,68.5,69.9,67.9,69.5,93.9,100.2,95.2,2030.16
2015.07,출판영상방송통신 및 정보서비스업,83.8,83.5,81.0,81.7,94.8,100.2,95.2,2030.16
2015.07,부동산업 및 임대업,81.4,81.1,79.0,87.3,97.4,100.2,95.2,2030.16
2015.07,전문과학 및 기술서비스업,85.5,85.2,84.7,84.5,92.6,100.2,95.2,2030.16
2015.07,사업시설관리 및 사업지원서비스업,83.1,83.9,80.9,82.9,96.1,100.2,95.2,2030.16
2015.07,교육서비스업,74.9,82.9,77.7,78.6,85.2,100.2,95.2,2030.16
2015.07,예술스포츠 및 여가관련서비스업,85.5,81.0,80.7,77.3,94.6,100.2,95.2,2030.16
2015.07,수리 및 기타개인서비스업,82.1,77.0,76.3,76.3,89.6,100.2,95.2,2030.16
2015.08,전산업,78.9,78.4,76.8,79.3,96.4,100.5,96.6,1941.49
2015.08,식료품,90.0,86.9,84.6,85.1,92.9,100.5,96.6,1941.49
2015.08,음료,100.5,99.9,97.7,99.9,95.6,100.5,96.6,1941.49
2015.08,섬유제품 의복제외,74.8,73.1,71.6,72.6,99.8,100.5,96.6,1941.49
2015.08,의복의복악세서리및모피제품,63.5,66.7,63.1,61.4,104.5,100.5,96.6,1941.49
2015.08,가죽가방및신발,74.9,74.9,74.3,73.3,105.7,100.5,96.6,1941.49
2015.08,목재및나무제품 가구제외,65.5,64.9,64.9,74.3,101.8,100.5,96.6,1941.49
2015.08,펄프종이및종이제품,69.5,73.8,70.2,77.4,95.8,100.5,96.6,1941.49
2015.08,인쇄및기록매체복제업,62.5,63.8,59.4,60.1,101.2,100.5,96.6,1941.49
2015.08,화학물질및화학제품 의약품제외,76.0,77.8,,82.5,98.1,100.5,96.6,1941.49
2015.08,의료용물질및의약품,98.0,99.6,84.8,94.5,99.5,100.5,96.6,1941.49
2015.08,고무제품및플라스틱제품,77.6,75.0,69.6,80.1,99.9,100.5,96.6,1941.49
2015.08,비금속광물제품,84.6,86.1,80.1,83.5,93.0,100.5,96.6,1941.49
2015.08,1차금속,70.2,72.0,66.2,75.7,105.2,100.5,96.6,1941.49
2015.08,금속가공제품 기계및가구제외,79.9,77.4,80.0,80.0,96.1,100.5,96.6,1941.49
2015.08,전자부품컴퓨터영상음향및통신장비,88.6,87.3,80.6,84.1,103.4,100.5,96.6,1941.49
2015.08,의료정밀광학기기및시계,75.2,68.9,74.4,77.0,100.2,100.5,96.6,1941.49
2015.08,전기장비,73.2,71.7,69.8,74.5,100.6,100.5,96.6,1941.49
2015.08,기타기계및장비,78.7,82.3,78.6,82.8,98.7,100.5,96.6,1941.49
2015.08,자동차및트레일러,76.5,76.1,72.3,75.4,96.2,100.5,96.6,1941.49
2015.08,기타운송장비,76.3,73.5,73.8,74.9,100.1,100.5,96.6,1941.49
2015.08,가구,65.0,63.1,63.8,67.9,93.2,100.5,96.6,1941.49
2015.08,기타제품,64.6,67.3,59.5,68.1,91.8,100.5,96.6,1941.49
2015.08,비제조업,79.1,78.6,77.6,79.3,95.4,100.5,96.6,1941.49
2015.08,건설업,78.8,76.6,75.2,72.8,96.6,100.5,96.6,1941.49
2015.08,도매 및 소매업,78.4,78.3,77.5,81.0,96.1,100.5,96.6,1941.49
2015.08,운수업,76.1,74.1,75.2,76.2,90.7,100.5,96.6,1941.49
2015.08,숙박 및 음식점업,83.4,83.4,81.9,82.1,95.8,100.5,96.6,1941.49
2015.08,출판영상방송통신 및 정보서비스업,84.0,83.5,83.0,81.5,88.7,100.5,96.6,1941.49
2015.08,부동산업 및 임대업,82.2,82.1,81.2,83.2,93.9,100.5,96.6,1941.49
2015.08,전문과학 및 기술서비스업,85.3,82.9,82.4,80.6,92.2,100.5,96.6,1941.49
2015.08,사업시설관리 및 사업지원서비스업,82.6,82.2,79.6,78.5,87.4,100.5,96.6,1941.49
2015.08,교육서비스업,82.5,87.4,79.9,89.1,93.2,100.5,96.6,1941.49
2015.08,예술스포츠 및 여가관련서비스업,79.6,84.0,78.9,76.0,97.1,100.5,96.6,1941.49
2015.08,수리 및 기타개인서비스업,78.3,79.8,76.0,68.1,86.4,100.5,96.6,1941.49
2015.09,전산업,84.6,84.3,80.7,81.2,94.3,101.1,96.2,1962.81
2015.09,식료품,98.7,98.6,95.0,91.5,87.6,101.1,96.2,1962.81
2015.09,음료,114.1,102.3,107.1,109.9,95.4,101.1,96.2,1962.81
2015.09,섬유제품 의복제외,83.5,84.7,79.4,76.8,100.2,101.1,96.2,1962.81
2015.09,의복의복악세서리및모피제품,75.2,76.4,72.6,68.8,100.0,101.1,96.2,1962.81
2015.09,가죽가방및신발,82.1,80.0,76.0,77.6,107.2,101.1,96.2,1962.81
2015.09,목재및나무제품 가구제외,71.9,71.3,72.0,77.8,99.7,101.1,96.2,1962.81
2015.09,펄프종이및종이제품,84.9,86.2,81.3,82.1,95.7,101.1,96.2,1962.81
2015.09,인쇄및기록매체복제업,75.8,77.3,73.2,72.4,107.5,101.1,96.2,1962.81
2015.09,화학물질및화학제품 의약품제외,75.1,75.4,,82.4,97.9,101.1,96.2,1962.81
2015.09,의료용물질및의약품,92.8,91.3,89.5,97.7,101.3,101.1,96.2,1962.81
2015.09,고무제품및플라스틱제품,86.4,81.2,78.4,82.6,93.3,101.1,96.2,1962.81
2015.09,비금속광물제품,84.5,86.6,81.9,85.2,93.5,101.1,96.2,1962.81
2015.09,1차금속,84.9,88.0,82.5,89.0,101.8,101.1,96.2,1962.81
2015.09,금속가공제품 기계및가구제외,86.3,84.0,79.2,83.2,97.6,101.1,96.2,1962.81
2015.09,전자부품컴퓨터영상음향및통신장비,92.5,87.2,85.8,78.0,99.1,101.1,96.2,1962.81
2015.09,의료정밀광학기기및시계,83.1,78.3,82.1,81.6,100.2,101.1,96.2,1962.81
2015.09,전기장비,85.6,84.7,80.5,82.7,97.4,101.1,96.2,1962.81
2015.09,기타기계및장비,77.8,77.1,72.5,76.8,100.9,101.1,96.2,1962.81
2015.09,자동차및트레일러,86.1,82.5,81.4,83.5,97.6,101.1,96.2,1962.81
2015.09,기타운송장비,83.8,83.3,84.0,84.5,93.4,101.1,96.2,1962.81
2015.09,가구,74.3,70.1,66.8,77.2,93.9,101.1,96.2,1962.81
2015.09,기타제품,72.9,68.7,63.6,63.0,95.8,101.1,96.2,1962.81
2015.09,비제조업,84.7,84.7,81.0,80.7,92.8,101.1,96.2,1962.81
2015.09,건설업,82.4,83.1,78.4,74.5,95.1,101.1,96.2,1962.81
2015.09,도매 및 소매업,84.6,84.6,80.3,81.9,91.9,101.1,96.2,1962.81
2015.09,운수업,86.1,85.9,84.7,82.6,91.7,101.1,96.2,1962.81
2015.09,숙박 및 음식점업,79.8,79.9,79.5,77.9,97.7,101.1,96.2,1962.81
2015.09,출판영상방송통신 및 정보서비스업,90.2,90.1,88.0,84.7,91.8,101.1,96.2,1962.81
2015.09,부동산업 및 임대업,88.8,90.9,94.7,92.5,101.7,101.1,96.2,1962.81
2015.09,전문과학 및 기술서비스업,92.4,90.6,89.2,84.6,94.1,101.1,96.2,1962.81
2015.09,사업시설관리 및 사업지원서비스업,91.1,90.6,87.7,82.4,92.6,101.1,96.2,1962.81
2015.09,교육서비스업,86.3,86.8,83.9,78.6,92.7,101.1,96.2,1962.81
2015.09,예술스포츠 및 여가관련서비스업,85.7,87.1,83.4,82.8,90.3,101.1,96.2,1962.81
2015.09,수리 및 기타개인서비스업,82.4,77.9,77.5,73.9,92.1,101.1,96.2,1962.81
2015.1,전산업,86.8,87.5,83.3,82.9,94.4,101.4,96.8,2029.47
2015.1,식료품,88.4,93.1,90.1,91.0,88.0,101.4,96.8,2029.47
2015.1,음료,89.5,91.6,98.7,93.1,94.4,101.4,96.8,2029.47
2015.1,섬유제품 의복제외,86.9,87.6,82.1,81.4,98.0,101.4,96.8,2029.47
2015.1,의복의복악세서리및모피제품,72.2,74.7,68.9,66.8,100.8,101.4,96.8,2029.47
2015.1,가죽가방및신발,74.9,72.1,72.9,72.1,101.9,101.4,96.8,2029.47
2015.1,목재및나무제품 가구제외,85.4,78.8,79.4,82.2,96.8,101.4,96.8,2029.47
